disc_era,hostname_canon,n_planets,avg_pl_rade,avg_pl_bmasse
2010s,kepler-93,2,1.478,479.33
2010s,kepler-937,2,3.195,10.505
2010s,kepler-94,2,8.005,1568.42
2010s,kepler-953,2,2.7,9.155
2010s,kepler-967,2,3.0,9.51
2010s,kepler-968,2,1.845,4.08
2010s,kepler-969,2,1.53,2.939
2010s,kepler-97,2,1.48,173.755
2010s,kepler-974,2,1.09,5.545
2010s,kepler-990,2,2.065,5.115
2010s,kic 5437945,2,5.96,29.85
2010s,kic 9663113,2,4.4,17.8
2010s,koi-12,2,12.894,3670.937
2010s,koi-142,2,8.719,111.8
2010s,koi-1599,2,1.9,6.8
2010s,koi-55,2,0.813,0.548
2010s,koi-7892,2,3.25,11.075
2010s,lhs 1140,2,1.501,3.755
2010s,lkca 15,2,,
2010s,lp 791-18,2,1.825,4.52
2010s,nn ser,2,12.95,1527.111
2010s,nu oph,2,12.0,7448.028
2010s,ny vir,2,13.05,1245.878
2010s,ogle-2012-blg-0026l,2,10.81,158.05
2010s,ogle-2014-blg-1722l,2,9.795,69.5
2010s,ogle-2018-blg-1011l,2,13.35,730.0
2010s,pds 70,2,26.677,794.575
2010s,pr0211,2,13.0,1536.708
2010s,teegarden's star,2,1.035,1.105
2010s,toi-125,2,2.742,8.065
2010s,toi-216,2,9.05,98.368
2010s,tyc 1422-614-1,2,12.9,1986.25
2010s,uz for,2,,2224.7
2010s,wasp-126,2,9.947,77.25
2010s,wasp-41,2,12.715,640.427
2010s,wasp-53,2,12.038,2937.067
2010s,wasp-8,2,12.583,1905.329
2010s,xo-2 s,2,12.25,259.022
2010s,24 boo,1,13.9,280.642
2010s,2mass j01033563-5515561 a,1,12.3,4131.79
2010s,2mass j01225093-2439505,1,11.209,7786.5
2010s,2mass j02192210-3925225,1,16.141,4417.837
2010s,2mass j0249-0557 a,1,12.4,3686.81
2010s,2mass j04414489+2301513,1,12.6,2383.6
2010s,2mass j19383260+4603591,1,13.4,603.877
2010s,2mass j22362452+4751425,1,12.3,3972.875
2010s,2mass j22501512+2325342,1,11.9,9534.852
2010s,51 eri,1,,3464.33
2010s,75 cet,1,13.3,787.897
2010s,8 umi,1,13.5,524.417
2010s,91 aqr,1,13.1,1017.0
2010s,alf ari,1,13.4,572.07
2010s,alf tau,1,12.7,2056.36
2010s,bd+03 2562,1,12.7,2034.112
2010s,bd+15 2375,1,13.8,337.218
2010s,bd+15 2940,1,13.7,352.78
2010s,bd+20 274,1,13.0,1334.886
2010s,bd+20 594,1,2.578,22.248
2010s,bd+48 738,1,13.9,289.225
2010s,bd+48 740,1,13.5,540.311
2010s,bd+49 828,1,13.5,508.5
2010s,bd-11 4672,1,14.1,206.59
2010s,bet cnc,1,12.6,2479.0
2010s,bet pic,1,12.5,3222.462
2010s,bet umi,1,12.7,1938.7
2010s,cd-35 2722,1,17.374,9375.938
2010s,cfbdsir j145829+101343,1,12.4,3337.1
2010s,corot-10,1,10.87,874.0
2010s,corot-11,1,16.03,740.51
2010s,corot-12,1,16.14,291.438
2010s,corot-13,1,9.92,415.704
2010s,corot-14,1,12.22,2415.4
2010s,corot-16,1,13.11,170.032
2010s,corot-17,1,11.43,772.29
2010s,corot-18,1,14.68,1102.82
2010s,corot-19,1,14.46,352.78
2010s,corot-21,1,14.572,718.296
2010s,corot-22,1,4.88,12.2
2010s,corot-23,1,11.77,889.9
2010s,corot-25,1,12.11,85.81
2010s,corot-26,1,14.12,165.26
2010s,corot-27,1,11.287,3302.11
2010s,corot-28,1,10.705,153.83
2010s,corot-29,1,10.088,270.156
2010s,corot-32,1,6.389,47.675
2010s,corot-8,1,6.39,69.92
2010s,de cvn,1,12.4,3823.273
2010s,denis-p j082303.1-491201,1,11.9,9057.77
2010s,dmpp-2,1,14.3,138.892
2010s,dmpp-3 a,1,1.41,2.58
2010s,ds tuc a,1,5.7,413.179
2010s,epic 201238110,1,1.87,4.16
