pl_name,hostname,discoverymethod,disc_year,sy_snum,sy_pnum,sy_dist,ra,dec,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass
"OGLE2-TR-L9 b","OGLE2-TR-L9","Transit",2008,1,1,1627.63000000,166.9798793,-61.1462496,2.48553350000,18.04600000,1430.17500000,2034.00,6933.00,1.530000,1.520000
"Kepler-4 b","Kepler-4","Transit",2009,1,1,487.91600000,285.6154492,50.1357712,3.21346000000,4.00200000,24.47200000,1650.00,5857.00,1.487000,1.223000
"Kepler-18 d","Kepler-18","Transit",2011,1,3,433.04700000,298.0794448,44.7462480,14.85888000000,6.98000000,16.40000000,720.00,5345.00,1.108000,0.972000
"HAT-P-37 b","HAT-P-37","Transit",2011,1,1,390.59400000,284.2960393,51.2691212,2.79743600000,13.20400000,371.52800000,1271.00,5500.00,0.877000,0.929000
"HD 129445 b","HD 129445","Radial Velocity",2009,1,1,67.43860000,221.5104196,-68.7629901,1840.00000000000,13.30000000,797.74930157,,5646.00,1.175816,0.990000
"Kepler-419 c","Kepler-419","Transit Timing Variations",2014,1,2,1011.36000000,295.4179125,51.1847629,675.47000000000,12.60000000,2320.10000000,,6430.00,1.740000,1.390000
"51 Eri b","51 Eri","Imaging",2015,3,1,29.75750000,69.4007424,-2.4738245,9100.00000000000,,3464.32963630,700.00,7295.00,1.487260,1.750000
"HD 70573 b","HD 70573","Radial Velocity",2007,1,1,59.18200000,125.7079153,1.8591088,851.80000000000,12.80000000,1900.00000000,,5737.00,0.976919,1.000000
"HD 47536 b","HD 47536","Radial Velocity",2002,1,1,122.53600000,99.4489580,-32.3394531,712.13000000000,12.60000000,2330.00000000,,4380.00,23.470000,2.100000
"CoRoT-14 b","CoRoT-14","Transit",2010,1,1,1744.60000000,103.4242023,-5.5360385,1.51214000000,12.22000000,2415.40000000,1952.00,6035.00,1.210000,1.130000
"47 UMa c","47 UMa","Radial Velocity",2001,1,3,13.79670000,164.8647611,40.4304931,2391.00000000000,14.20000000,171.62100000,,5872.00,1.213340,1.060000
"47 UMa b","47 UMa","Radial Velocity",1996,1,3,13.79670000,164.8647611,40.4304931,1078.00000000000,13.20000000,804.08000000,,5872.00,1.213340,1.060000
